t;T;T
[s];[°C];[°C]

1068,0;144,9;144,9
1069,0;144,9;144,9
1070,0;144,9;144,9
1071,0;144,9;144,9
1072,0;144,5;144,5
1073,0;144,5;144,5
1074,0;144,6;144,6
1075,0;144,6;144,6
1076,0;144,2;144,2
1077,0;144,2;144,2
1078,0;144,2;144,2
1079,0;144,2;144,2
1080,0;143,8;143,8
1081,0;143,8;143,8
1082,0;143,8;143,8
1083,0;143,8;143,8
1084,0;143,8;143,8
1085,0;143,8;143,8
1086,0;143,8;143,8
1087,0;143,8;143,8
1088,0;143,5;143,5
1089,0;143,5;143,5
1090,0;143,5;143,5
1091,0;143,5;143,5
1092,0;143,5;143,5
1093,0;143,5;143,5
1094,0;142,8;142,8
1095,0;142,8;142,8
1096,0;142,8;142,8
1097,0;142,8;142,8
1098,0;142,4;142,4
1099,0;142,4;142,4
1100,0;142,4;142,4
1101,0;142,4;142,4
1102,0;142,1;142,1
1103,0;142,1;142,1
1104,0;142,1;142,1
1105,0;142,1;142,1
1106,0;142,1;142,1
1107,0;142,1;142,1
1108,0;141,7;141,7
1109,0;141,7;141,7
1110,0;141,7;141,7
1111,0;141,7;141,7
1112,0;141,7;141,7
1113,0;141,7;141,7
1114,0;141,0;141,0
1115,0;141,0;141,0
1116,0;141,0;141,0
1117,0;141,0;141,0
1118,0;141,0;141,0
1119,0;141,0;141,0
1120,0;140,3;140,3
1121,0;140,3;140,3
1122,0;140,3;140,3
1123,0;140,3;140,3
1124,0;140,3;140,3
1125,0;140,3;140,3
1126,0;140,3;140,3
1127,0;140,3;140,3
1128,0;140,3;140,3
1129,0;140,3;140,3
1130,0;139,9;139,9
1131,0;139,9;139,9
1132,0;140,3;140,3
1133,0;140,3;140,3
1134,0;139,9;139,9
1135,0;139,9;139,9
1136,0;139,9;139,9
1137,0;139,9;139,9
1138,0;139,6;139,6
1139,0;139,6;139,6
1140,0;139,2;139,2
1141,0;139,2;139,2
1142,0;139,2;139,2
1143,0;139,2;139,2
1144,0;138,8;138,8
